college_tier,cgpa,internships,github_projects,backlogs,hackathons,certifications,advanced_skills,intermediate_skills,basic_skills,aptitude_score,job_role,salary_lpa,college_tier_encoded,job_role_encoded,academic_score,total_skills,experience_score
Tier 3,6.89,2,2,0,1,2,3,1,1,61.9,Data Analyst,9.83,1,1,0.5371,12,13.5
Tier 1,7.45,1,0,0,3,2,0,1,0,44.8,Backend Developer,10.35,3,0,0.4958,2,9.5
Tier 2,7.78,0,0,1,2,3,0,0,3,60.4,Data Analyst,5.94,2,1,0.6175,3,6.0
Tier 2,6.17,2,1,0,2,2,0,1,1,45.2,Junior Developer,8.14,2,4,0.3701,3,13.0
Tier 2,7.68,2,0,1,2,0,1,2,2,60.4,Software Engineer,15.8,2,6,0.6075,9,9.0
Tier 2,9.16,0,1,0,1,2,1,3,1,67.1,Backend Developer,17.39,2,0,0.7937,10,5.5
Tier 2,9.97,0,3,0,0,2,1,2,0,70.8,Backend Developer,18.32,2,0,0.8957,7,8.0
Tier 2,6.97,2,2,0,0,0,0,2,1,42.8,DevOps Engineer,7.92,2,3,0.4364,5,10.0
Tier 2,9.16,1,1,1,0,1,0,1,2,68.0,DevOps Engineer,10.94,2,3,0.7988,4,6.0
Tier 3,7.43,3,1,1,3,1,0,1,0,45.8,Web Developer,8.74,1,7,0.4995,2,16.5
Tier 2,7.74,1,4,0,1,0,1,3,0,65.0,Backend Developer,15.92,2,0,0.6397,9,12.5
Tier 2,5.0,3,1,1,2,4,0,1,2,38.9,Junior Developer,3.13,2,4,0.2172,4,18.0
Tier 1,8.77,1,2,0,1,2,1,1,0,73.7,Backend Developer,17.55,3,0,0.7922,5,10.5
Tier 3,8.27,1,1,0,2,2,3,0,3,69.6,Data Scientist,19.52,1,2,0.7189,12,10.0
Tier 1,7.09,0,2,1,0,1,1,1,1,45.9,Backend Developer,16.25,3,0,0.466,6,5.0
Tier 3,8.47,2,2,0,1,2,1,1,1,62.5,Data Analyst,12.89,1,1,0.6985,6,13.5
Tier 1,6.77,1,3,3,2,1,0,3,1,50.1,Web Developer,8.33,3,7,0.4579,7,13.0
Tier 2,5.75,0,2,1,1,5,1,1,1,45.5,Junior Developer,6.32,2,4,0.3298,6,10.5
Tier 2,8.33,0,3,2,4,3,1,2,3,69.4,DevOps Engineer,20.11,2,3,0.7238,10,15.0
Tier 3,7.68,2,1,0,0,1,1,3,1,67.3,Web Developer,15.15,1,7,0.6468,10,9.0
Tier 2,5.81,0,1,0,3,3,0,1,2,27.7,Junior Developer,4.38,2,4,0.2345,4,9.5
Tier 3,5.03,1,5,0,0,3,0,1,2,30.7,Junior Developer,3.52,1,4,0.1736,4,16.0
Tier 3,4.97,0,2,0,2,1,0,1,0,34.2,Junior Developer,3.77,1,4,0.1875,2,8.0
Tier 2,5.84,0,2,1,3,0,2,0,0,51.7,Junior Developer,6.04,2,4,0.374,6,8.5
Tier 2,8.45,1,1,0,3,3,0,3,1,61.5,DevOps Engineer,10.2,2,3,0.6908,7,12.5
Tier 2,7.33,1,1,2,0,0,1,0,0,62.7,Junior Developer,9.29,2,4,0.5856,3,5.0
Tier 1,5.16,1,2,1,2,1,3,0,1,49.7,Junior Developer,4.59,3,4,0.2947,10,11.0
Tier 3,6.36,1,0,0,1,1,0,2,0,41.0,Backend Developer,6.73,1,0,0.3652,4,5.5
Tier 3,6.09,1,4,0,4,1,2,0,1,50.8,Junior Developer,8.97,1,4,0.3939,7,18.0
Tier 3,7.09,0,2,0,2,3,0,1,1,43.1,Junior Developer,8.06,1,4,0.4501,3,10.0
Tier 1,8.46,1,0,1,3,1,1,1,1,64.1,Data Scientist,23.79,3,2,0.7066,6,8.5
Tier 1,6.71,2,2,2,2,1,0,2,2,44.3,DevOps Engineer,8.35,3,3,0.4189,6,14.0
Tier 2,7.68,0,0,0,0,4,1,2,2,61.4,Web Developer,15.39,2,7,0.6132,9,4.0
Tier 3,7.98,2,2,0,0,0,2,2,1,66.9,ML Engineer,16.02,1,5,0.6745,11,10.0
Tier 3,4.84,1,0,1,2,0,1,0,1,34.0,Junior Developer,4.44,1,4,0.1733,4,6.0
Tier 2,8.79,0,1,2,0,0,0,1,0,57.8,Backend Developer,10.31,2,0,0.7038,2,2.0
Tier 3,6.53,3,2,1,2,2,1,3,1,50.7,Backend Developer,10.26,1,0,0.4374,10,18.0
Tier 2,7.91,0,2,0,1,1,1,1,1,59.3,Data Scientist,16.17,2,2,0.6243,6,6.5
Tier 2,7.14,2,1,0,2,3,1,1,1,48.1,Backend Developer,16.34,2,0,0.4836,6,14.0
Tier 2,5.66,1,1,2,4,1,0,0,2,40.2,Junior Developer,5.32,2,4,0.2906,2,12.0
Tier 3,6.73,0,1,0,0,3,1,1,2,51.7,DevOps Engineer,10.36,1,3,0.463,7,5.0
Tier 1,6.21,1,1,2,0,0,0,2,2,47.1,Backend Developer,8.39,3,0,0.3849,6,5.0
Tier 2,5.5,0,4,2,4,1,1,1,1,39.5,Web Developer,6.17,2,7,0.2706,6,15.0
Tier 3,6.75,0,2,2,0,2,0,3,2,52.4,Data Analyst,7.83,1,1,0.469,8,6.0
Tier 2,6.8,1,4,3,0,0,1,0,1,53.3,Data Analyst,10.24,2,1,0.4791,4,11.0
Tier 2,7.69,0,4,0,1,4,1,0,4,56.3,Data Analyst,13.19,2,1,0.5852,7,13.5
Tier 1,7.99,1,2,0,2,3,1,1,1,54.4,Backend Developer,15.76,3,0,0.6044,6,13.0
Tier 2,7.78,1,1,0,3,4,0,1,1,45.3,Software Engineer,10.78,2,6,0.5316,3,13.5
Tier 2,6.34,1,3,2,2,0,0,3,1,59.7,Backend Developer,8.33,2,0,0.4696,7,12.0
Tier 2,6.22,2,1,0,1,1,0,3,2,44.7,Junior Developer,8.17,2,4,0.3722,8,10.5
Tier 2,9.23,1,2,0,1,1,0,2,0,58.1,Backend Developer,10.24,2,0,0.7495,4,9.5
Tier 2,7.93,1,2,2,2,0,0,1,2,56.7,Data Analyst,10.29,2,1,0.6115,4,10.0
Tier 3,4.0,2,1,3,0,1,1,1,2,31.0,Junior Developer,4.61,1,4,0.0723,7,9.0
Tier 2,6.73,0,2,1,1,0,1,2,1,36.6,DevOps Engineer,10.27,2,3,0.3771,8,5.5
Tier 1,7.88,0,4,0,1,3,1,0,1,57.5,Data Scientist,15.6,3,2,0.611,4,12.5
Tier 3,9.9,2,0,0,1,3,2,0,1,79.9,Data Scientist,21.24,1,2,0.9405,7,10.5
Tier 3,7.21,1,2,2,1,2,1,3,1,52.3,Backend Developer,14.4,1,0,0.5145,10,10.5
Tier 2,7.07,1,2,0,2,4,2,3,0,59.4,Software Engineer,15.99,2,6,0.5409,12,14.0
Tier 3,6.93,2,0,2,2,2,1,0,0,48.1,Junior Developer,9.36,1,4,0.4626,3,11.0
Tier 2,8.3,1,2,1,3,2,0,2,1,52.4,Backend Developer,10.53,2,0,0.624,5,13.5
Tier 1,9.48,0,6,1,2,0,0,1,1,60.0,Software Engineer,10.76,3,6,0.7853,3,15.0
Tier 2,10.0,2,2,1,2,2,0,0,2,77.8,Data Analyst,6.39,2,1,0.9385,2,15.0
Tier 1,5.8,2,1,0,2,3,0,3,0,37.6,Junior Developer,4.81,3,4,0.2898,6,14.0
Tier 1,7.16,0,3,0,1,3,1,3,1,42.5,Backend Developer,16.04,3,0,0.4537,10,10.5
Tier 2,8.23,4,3,0,1,4,1,1,0,53.7,DevOps Engineer,19.64,2,3,0.6244,5,23.5
Tier 3,6.89,2,5,2,2,0,1,2,1,54.4,DevOps Engineer,10.55,1,3,0.4944,8,19.0
Tier 2,6.73,0,2,0,1,0,1,2,1,49.0,DevOps Engineer,10.29,2,3,0.4477,8,5.5
Tier 2,9.05,1,0,0,1,4,2,2,2,73.4,Data Scientist,24.55,2,2,0.8185,12,8.5
Tier 2,7.32,3,2,1,3,2,2,1,2,63.1,Software Engineer,15.71,2,6,0.5869,10,19.5
Tier 1,7.04,1,5,0,1,1,1,2,0,50.7,DevOps Engineer,15.79,3,3,0.4884,7,15.5
Tier 1,5.31,1,1,0,0,1,1,1,1,40.7,Junior Developer,4.41,3,4,0.2585,6,6.0
Tier 2,6.1,2,2,0,1,3,0,0,3,40.3,Data Analyst,6.2,2,1,0.3352,3,14.5
Tier 3,5.35,2,4,0,1,1,2,1,1,34.3,Junior Developer,4.98,1,4,0.226,9,16.5
Tier 2,8.08,0,2,0,2,0,2,2,1,67.6,Backend Developer,17.55,2,0,0.6885,11,7.0
Tier 3,8.47,0,1,1,3,1,1,0,1,70.2,Data Analyst,12.05,1,1,0.7423,4,7.5
Tier 3,7.13,0,1,0,1,0,2,1,1,46.2,Backend Developer,13.65,1,0,0.4717,9,3.5
Tier 2,8.03,2,2,1,4,2,2,2,2,71.9,Data Scientist,24.48,2,2,0.708,12,18.0
Tier 2,7.94,1,1,0,2,0,2,0,1,71.4,Data Scientist,16.42,2,2,0.6961,7,8.0
Tier 2,6.33,1,3,2,0,1,0,3,1,43.1,Backend Developer,8.16,2,0,0.3741,7,10.0
Tier 1,7.01,1,0,0,0,0,0,1,1,47.5,Backend Developer,10.88,3,0,0.4671,3,3.0
Tier 1,7.67,0,4,1,2,2,2,3,0,59.9,Backend Developer,16.52,3,0,0.6037,12,13.0
Tier 2,9.68,2,1,0,0,1,0,2,3,68.1,Backend Developer,10.55,2,0,0.8514,7,9.0
Tier 2,8.15,0,3,2,2,1,0,2,0,46.1,Backend Developer,11.19,2,0,0.5732,4,10.0
Tier 3,5.2,0,5,1,1,2,2,0,1,46.7,Junior Developer,4.49,1,4,0.2816,7,13.5
Tier 3,8.35,1,1,1,2,5,0,2,0,58.1,Backend Developer,10.75,1,0,0.6615,4,13.0
Tier 1,6.75,1,3,1,3,0,1,0,3,45.4,Junior Developer,8.39,3,4,0.4292,6,13.5
Tier 1,6.25,0,1,3,0,3,3,1,1,60.9,Backend Developer,10.24,3,0,0.4674,12,5.0
Tier 2,7.91,3,0,0,0,2,2,0,1,58.6,ML Engineer,15.91,2,5,0.6203,7,11.0
Tier 3,4.73,0,3,0,1,1,1,1,1,38.4,Junior Developer,4.75,1,4,0.1874,6,8.5
Tier 3,6.77,0,1,3,1,3,1,0,0,47.5,Junior Developer,7.77,1,4,0.4431,3,6.5
Tier 2,5.67,3,1,1,1,0,0,0,2,44.4,Junior Developer,4.64,2,4,0.3155,2,12.5
Tier 2,7.18,1,0,0,0,2,0,0,3,55.2,Data Analyst,6.14,2,1,0.528,3,5.0
Tier 1,6.21,0,2,2,3,2,1,0,0,45.6,Junior Developer,9.23,3,4,0.3763,3,10.5
Tier 1,8.11,0,1,2,2,0,2,2,2,68.5,Backend Developer,17.96,3,0,0.6966,12,5.0
Tier 3,6.83,2,1,1,0,4,0,1,1,45.1,DevOps Engineer,7.44,1,3,0.4355,3,12.0
Tier 2,9.52,1,2,0,2,3,2,4,0,72.7,ML Engineer,30.98,2,5,0.8615,14,13.0
Tier 3,6.35,0,2,0,1,0,0,3,0,43.5,Backend Developer,7.78,1,0,0.3784,6,5.5
Tier 3,5.81,1,2,2,1,4,0,2,1,39.2,Web Developer,4.86,1,7,0.2999,5,12.5
Tier 2,8.18,1,1,0,3,4,0,0,2,52.8,Backend Developer,6.28,2,0,0.6143,2,13.5
Tier 2,6.78,0,1,1,0,6,1,1,1,43.9,DevOps Engineer,9.82,2,3,0.4237,6,8.0
Tier 2,6.55,2,1,1,1,2,1,0,1,47.9,Data Analyst,10.3,2,1,0.4234,4,11.5
Tier 2,6.91,1,1,1,0,2,0,1,1,60.5,Backend Developer,8.0,2,0,0.5311,3,7.0
Tier 1,6.77,2,1,0,1,0,1,0,2,49.2,DevOps Engineer,10.13,3,3,0.4528,5,9.5
Tier 2,7.45,0,4,1,1,1,1,1,2,57.1,Data Analyst,13.21,2,1,0.5658,7,10.5
Tier 3,7.66,5,1,1,2,3,2,2,1,58.1,ML Engineer,15.62,1,5,0.5925,11,23.0
Tier 3,7.73,0,2,0,0,2,1,0,1,53.6,Data Analyst,11.11,1,1,0.5739,4,6.0
Tier 2,5.39,4,2,0,1,2,0,2,1,28.1,Junior Developer,3.14,2,4,0.1948,5,19.5
Tier 3,7.04,0,0,0,3,2,2,1,1,52.4,Data Scientist,14.56,1,2,0.498,9,6.5
Tier 1,7.94,2,3,0,0,2,1,1,2,57.8,Data Analyst,13.2,3,1,0.6188,7,14.0
Tier 2,7.85,1,4,0,2,1,2,1,2,65.0,Backend Developer,15.85,2,0,0.6507,10,15.0
Tier 3,6.19,1,1,0,0,3,1,0,3,47.5,Junior Developer,9.0,1,4,0.3851,6,8.0
Tier 3,7.56,1,3,0,4,2,0,0,2,63.7,Data Analyst,6.51,1,1,0.6143,2,17.0
Tier 1,7.58,2,2,1,0,2,0,0,1,49.6,Data Analyst,6.72,3,1,0.5361,1,12.0
Tier 2,8.19,2,4,0,3,4,0,0,1,60.1,Web Developer,6.24,2,7,0.6568,1,22.5
Tier 2,6.15,0,1,2,1,3,1,3,0,55.7,Backend Developer,10.55,2,0,0.4278,9,6.5
Tier 3,7.05,1,3,1,1,3,0,2,1,56.0,Web Developer,10.19,1,7,0.5195,5,13.5
Tier 3,7.08,0,1,1,2,2,1,1,1,49.7,Backend Developer,10.98,1,0,0.4867,6,7.0
Tier 2,8.48,0,4,0,2,1,1,3,2,65.4,Web Developer,15.39,2,7,0.716,11,12.0
Tier 3,7.04,0,1,0,2,2,1,1,0,48.7,Backend Developer,11.51,1,0,0.477,5,7.0
Tier 2,5.26,0,3,0,0,2,0,1,1,46.9,Junior Developer,4.0,2,4,0.2887,3,8.0
Tier 2,5.44,0,3,1,1,2,0,1,0,43.1,Junior Developer,3.77,2,4,0.2851,2,9.5
Tier 1,7.41,0,3,0,1,4,1,1,1,50.7,Software Engineer,15.96,3,6,0.5254,6,11.5
Tier 2,7.38,1,2,0,2,1,0,0,1,52.8,Backend Developer,6.49,2,0,0.5343,1,11.0
Tier 2,6.72,1,1,0,1,4,0,2,0,50.0,Backend Developer,8.14,2,0,0.4524,4,10.5
Tier 3,7.09,0,4,0,3,4,1,1,0,58.1,Data Scientist,14.23,1,2,0.5355,5,16.5
Tier 2,7.83,1,3,1,1,2,0,0,1,59.6,DevOps Engineer,6.4,2,3,0.618,1,12.5
Tier 3,7.3,1,1,0,0,1,1,0,0,52.8,Data Scientist,10.57,1,2,0.5263,3,6.0
Tier 1,7.2,1,1,0,2,3,3,0,2,55.5,Data Scientist,15.59,3,2,0.5317,11,11.0
Tier 1,7.85,1,2,0,5,1,1,2,0,59.0,DevOps Engineer,15.7,3,3,0.6166,7,15.5
Tier 1,7.64,1,0,0,0,3,1,1,1,53.2,Web Developer,15.02,3,7,0.5626,6,6.0
Tier 2,6.74,1,1,1,0,4,1,0,1,49.3,Backend Developer,10.56,2,0,0.4504,4,9.0
Tier 2,7.47,1,3,0,0,1,0,0,1,46.9,Data Analyst,6.28,2,1,0.5097,1,10.0
Tier 1,5.81,1,1,1,1,3,2,0,1,52.6,Junior Developer,6.08,3,4,0.3762,7,9.5
Tier 3,9.11,3,2,0,3,3,0,0,2,68.9,Data Analyst,5.73,1,1,0.7989,2,20.5
Tier 2,6.27,1,3,0,1,0,1,1,2,49.2,Backend Developer,9.82,2,0,0.4028,7,10.5
Tier 2,4.35,2,0,0,2,3,2,1,1,41.2,Junior Developer,4.94,2,4,0.1653,9,12.0
Tier 3,7.85,2,3,0,5,3,2,3,0,67.7,Software Engineer,16.54,1,6,0.6661,12,22.5
Tier 3,6.74,0,1,0,0,3,2,1,0,56.5,Backend Developer,9.86,1,0,0.4914,8,5.0
Tier 3,8.39,2,3,0,1,2,0,0,2,56.2,Backend Developer,6.65,1,0,0.6546,2,15.5
Tier 2,5.52,3,0,1,1,1,1,1,2,40.6,Junior Developer,6.15,2,4,0.2789,7,11.5
Tier 1,6.35,1,7,1,0,6,1,1,1,48.9,Junior Developer,8.77,3,4,0.4091,6,23.0
Tier 2,6.4,0,0,0,2,2,0,2,0,48.5,Backend Developer,8.4,2,0,0.4118,4,5.0
Tier 3,7.46,1,5,1,1,4,0,0,1,58.8,Data Analyst,6.74,1,1,0.5764,1,18.5
Tier 1,7.66,2,3,1,3,1,0,3,1,61.0,Backend Developer,10.91,3,0,0.609,7,17.5
Tier 2,7.68,1,2,1,5,1,2,0,3,56.5,Data Scientist,15.5,2,2,0.5854,9,15.5
Tier 1,7.65,2,1,0,1,4,0,1,0,57.3,Backend Developer,10.16,3,0,0.5869,2,13.5
Tier 3,8.07,1,5,0,0,4,1,1,3,56.7,Backend Developer,16.21,1,0,0.6255,8,17.0
Tier 3,6.79,0,1,0,0,1,0,2,1,47.2,Software Engineer,7.3,1,6,0.4434,5,3.0
Tier 1,8.05,0,1,0,1,1,2,1,2,60.5,Data Scientist,24.18,3,2,0.6451,10,4.5
Tier 1,6.33,0,2,0,1,2,0,1,0,45.4,Software Engineer,8.81,3,6,0.3872,2,7.5
Tier 2,7.42,0,1,0,2,3,1,3,1,49.9,Junior Developer,9.14,2,4,0.5218,10,8.0
Tier 3,7.82,1,5,0,2,3,1,1,1,55.6,Data Scientist,15.31,1,2,0.5942,6,19.0
Tier 2,6.41,0,2,1,1,3,0,0,1,46.9,Junior Developer,6.01,2,4,0.4037,1,8.5
Tier 1,7.35,0,1,1,3,2,0,1,2,52.1,Backend Developer,10.15,3,0,0.5273,4,8.5
Tier 2,7.48,0,2,1,1,4,1,2,1,59.2,Backend Developer,15.37,2,0,0.5807,8,9.5
Tier 3,6.3,0,2,0,0,2,0,1,3,53.6,Junior Developer,7.1,1,4,0.4309,5,6.0
Tier 2,6.95,1,4,0,0,2,0,0,2,41.4,Data Analyst,6.41,2,1,0.4264,2,13.0
Tier 2,8.06,1,0,0,2,0,2,0,1,55.1,Data Analyst,13.11,2,1,0.6154,7,6.0
Tier 3,7.3,0,1,1,1,2,1,0,0,49.7,Data Scientist,9.76,1,2,0.5087,3,5.5
Tier 3,7.14,1,0,1,1,1,0,2,1,50.5,Backend Developer,7.59,1,0,0.4972,5,5.5
Tier 2,6.86,2,5,1,4,1,1,1,0,53.3,Backend Developer,9.51,2,0,0.4851,5,23.0
Tier 2,6.53,0,3,1,0,1,1,0,0,50.2,Software Engineer,9.1,2,6,0.4345,3,7.0
Tier 2,6.78,3,3,0,0,2,1,0,1,41.7,Data Analyst,9.92,2,1,0.4111,4,17.0
Tier 2,7.71,1,1,0,2,2,0,0,1,42.5,Web Developer,6.38,2,7,0.5087,1,10.0
Tier 2,5.36,0,0,2,4,3,0,1,2,49.4,Junior Developer,3.56,2,4,0.313,4,9.0
Tier 2,7.11,1,0,1,0,2,1,0,4,56.3,Junior Developer,9.42,2,4,0.5272,7,5.0
Tier 2,4.91,3,3,0,2,2,0,0,1,37.9,Junior Developer,3.92,2,4,0.2025,1,20.0
Tier 3,6.43,2,2,0,0,3,2,0,0,60.2,Software Engineer,9.86,1,6,0.4814,6,13.0
Tier 1,6.51,1,1,2,0,2,1,1,3,56.5,Data Analyst,10.05,3,1,0.4684,8,7.0
Tier 3,7.06,2,1,1,1,2,1,3,1,55.8,Backend Developer,14.99,1,0,0.5194,10,11.5
Tier 3,5.13,0,0,0,2,0,0,1,1,44.2,Junior Developer,3.24,1,4,0.2604,3,3.0
Tier 3,6.53,0,1,1,2,3,1,2,0,51.1,Backend Developer,10.21,1,0,0.4396,7,8.0
Tier 3,5.48,2,3,3,2,3,0,1,0,48.6,Junior Developer,3.05,1,4,0.3204,2,18.0
Tier 1,7.91,0,1,2,2,4,0,1,0,65.3,Software Engineer,10.72,3,6,0.6584,2,9.0
