total_experience_yrs,expected_salary_inr,highest_degree_rank,highest_cgpa,institute_tier,skill_python,skill_java,skill_cplusplus,skill_c,skill_javascript,skill_typescript,skill_go,skill_rust,skill_kotlin,skill_swift,skill_r,skill_scala,skill_php,skill_react,skill_angular,skill_vuejs,skill_nodejs,skill_django,skill_flask,skill_fastapi,skill_spring_boot,skill_expressjs,skill_nextjs,skill_html,skill_css,skill_pandas,skill_numpy,skill_scikit_learn,skill_tensorflow,skill_pytorch,skill_keras,skill_xgboost,skill_matplotlib,skill_seaborn,skill_tableau,skill_power_bi,skill_mysql,skill_postgresql,skill_mongodb,skill_redis,skill_sqlite,skill_cassandra,skill_oracle_db,skill_firebase,skill_aws,skill_azure,skill_gcp,skill_docker,skill_kubernetes,skill_jenkins,skill_git,skill_github_actions,skill_terraform,skill_linux,skill_bash,skill_react_native,skill_flutter,skill_android_sdk,skill_ios_sdk,skill_rest_api,skill_graphql,skill_microservices,skill_cicd,skill_agile,skill_scrum,skill_system_design,skill_data_structures,skill_algorithms,total_skills_count,has_certification,num_certifications,num_projects,num_companies,role_applied_for,candidate_score
5.2,1410000.0,2.0,8.79,1.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,20,0,0.0,1.0,3.0,DevOps Engineer,67.35
21.9,2160000.0,2.0,,2.0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,37,1,2.0,3.0,8.0,Backend Developer,82.11
3.6,1120000.0,5.0,7.66,1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,20,0,0.0,3.0,1.0,iOS Developer,59.71
3.1,1250000.0,2.0,8.12,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,18,0,0.0,4.0,2.0,DevOps Engineer,65.72
3.7,1770000.0,5.0,9.95,3.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,24,0,0.0,5.0,2.0,ML Engineer,64.95
1.2,880000.0,5.0,6.07,3.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,24,0,0.0,6.0,1.0,Backend Developer,49.19
5.1,2370389.0,5.0,,2.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,12,1,1.0,6.0,3.0,iOS Developer,55.48
0.6,620000.0,6.0,5.64,3.0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,14,0,0.0,3.0,0.0,iOS Developer,37.17
1.1,810000.0,5.0,7.35,2.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,18,1,1.0,8.0,0.0,ML Engineer,55.81
22.0,2480000.0,5.0,6.96,3.0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,39,1,2.0,0.0,8.0,Backend Developer,65.01
3.6,1230000.0,1.0,8.45,3.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,22,0,0.0,4.0,1.0,DevOps Engineer,64.03
3.7,1010000.0,5.0,7.55,,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,24,0,0.0,2.0,1.0,Full Stack Developer,65.12
0.2,690000.0,5.0,6.57,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,17,1,2.0,4.0,1.0,ML Engineer,50.16
0.7,650000.0,5.0,7.93,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,9,0,0.0,1.0,1.0,Android Developer,49.72
18.6,1890000.0,5.0,5.15,2.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,25,1,4.0,2.0,6.0,Android Developer,69.05
1.7,850000.0,5.0,,1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,10,0,0.0,4.0,1.0,iOS Developer,53.37
8.7,1990000.0,5.0,,3.0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,21,0,0.0,2.0,2.0,Full Stack Developer,59.09
0.5,530000.0,5.0,5.7,3.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,19,0,0.0,3.0,,Full Stack Developer,39.86
8.1,2220000.0,4.0,7.82,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,23,1,3.0,2.0,3.0,DevOps Engineer,71.91
1.8,690000.0,5.0,6.69,1.0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,20,0,0.0,4.0,0.0,Frontend Developer,56.51
2.4,820000.0,2.0,8.51,3.0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,16,0,0.0,4.0,1.0,iOS Developer,60.42
0.1,490000.0,5.0,4.98,1.0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,19,0,0.0,8.0,1.0,DevOps Engineer,48.76
0.3,550000.0,2.0,8.1,3.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,17,0,0.0,4.0,1.0,Full Stack Developer,55.65
5.2,1650000.0,4.0,9.35,2.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,21,1,0.0,1.0,3.0,Full Stack Developer,64.32
3.8,1270000.0,5.0,7.1,2.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,17,0,0.0,2.0,0.0,iOS Developer,52.22
0.2,500000.0,5.0,6.89,2.0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,1,1.0,6.0,0.0,Data Scientist,49.87
3.4,1220000.0,2.0,6.6,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,12,0,0.0,1.0,,Android Developer,46.39
2.2,1837291.0,5.0,9.32,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,15,0,0.0,4.0,0.0,Frontend Developer,55.95
0.3,530000.0,2.0,8.35,3.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,11,0,0.0,4.0,0.0,iOS Developer,46.26
1.5,860000.0,2.0,7.7,2.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,17,0,0.0,2.0,0.0,iOS Developer,51.58
0.1,440000.0,5.0,7.47,2.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,13,0,0.0,3.0,1.0,iOS Developer,44.77
21.9,2200000.0,3.0,,,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,38,1,3.0,3.0,8.0,Full Stack Developer,80.24
18.6,2550000.0,5.0,7.82,1.0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,37,1,1.0,0.0,8.0,DevOps Engineer,72.9
1.7,780000.0,1.0,9.15,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,11,0,0.0,0.0,0.0,iOS Developer,52.35
2.2,1110000.0,4.0,8.44,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,16,1,,2.0,1.0,Full Stack Developer,61.09
3.2,1240000.0,5.0,6.71,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,22,0,0.0,2.0,1.0,Backend Developer,54.91
12.7,2780000.0,5.0,8.35,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,32,1,1.0,4.0,4.0,ML Engineer,80.13
1.5,1020000.0,1.0,7.48,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,17,1,3.0,,1.0,DevOps Engineer,63.99
3.5,,5.0,,2.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,16,0,0.0,2.0,2.0,Frontend Developer,52.89
8.6,1630000.0,5.0,6.09,3.0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,25,1,,6.0,2.0,Frontend Developer,67.94
3.3,1290000.0,5.0,6.32,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,15,1,1.0,5.0,2.0,DevOps Engineer,61.33
5.8,1550000.0,4.0,7.41,1.0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,24,0,0.0,2.0,2.0,Full Stack Developer,64.35
1.7,1310000.0,2.0,9.22,3.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,12,0,0.0,3.0,0.0,ML Engineer,53.32
12.4,1930000.0,4.0,,2.0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,24,0,0.0,3.0,4.0,Android Developer,78.73
