college_tier,cgpa,internships,github_projects,backlogs,hackathons,certifications,advanced_skills,intermediate_skills,basic_skills,aptitude_score,job_role,salary_lpa,college_tier_encoded,job_role_encoded,salary_log
Tier 3,6.81,2,2,0,3,3,1,2,2,47.6,Data Analyst,9.33,1,1,2.3350522831315472
Tier 3,8.26,1,4,0,2,1,2,1,0,60.8,ML Engineer,18.38,1,5,2.96424160646262
Tier 3,9.72,2,1,1,3,1,0,0,1,75.8,Backend Developer,6.27,1,0,1.9837562915454279
Tier 2,6.49,2,2,0,0,3,0,1,1,42.1,Web Developer,8.05,2,7,2.2027647577118348
Tier 2,10.0,1,6,0,2,3,2,3,1,78.3,Backend Developer,17.93,2,0,2.9407479652212314
Tier 2,4.97,0,2,0,1,2,0,0,1,44.0,Junior Developer,3.5,2,4,1.5040773967762742
Tier 2,9.0,0,1,0,1,3,0,3,2,61.4,Backend Developer,10.07,2,0,2.4042387467205457
Tier 2,10.0,0,3,0,0,2,3,1,2,82.4,Data Scientist,24.12,2,2,3.223664341599998
Tier 2,8.8,1,2,0,3,2,0,2,0,64.5,Backend Developer,10.17,2,0,2.413231613081109
Tier 2,6.89,0,2,0,1,2,2,0,2,56.4,Backend Developer,10.24,2,0,2.419478844465545
Tier 2,5.87,2,2,1,0,1,1,1,2,47.0,Junior Developer,5.62,2,4,1.890095369948917
Tier 3,8.11,1,1,0,1,2,2,1,3,63.7,Data Scientist,17.25,1,2,2.9041650800285006
Tier 2,6.88,1,4,0,1,2,1,3,1,44.4,Web Developer,10.03,2,7,2.400618833265411
Tier 2,5.04,1,2,0,4,2,2,1,1,46.6,Junior Developer,4.62,2,4,1.7263316639055997
Tier 2,4.16,0,1,0,1,1,1,1,1,41.2,Junior Developer,4.23,2,4,1.6544112780768316
Tier 3,7.69,1,3,0,1,2,1,1,1,47.3,Backend Developer,14.23,1,0,2.7232671669070703
Tier 1,7.29,0,3,0,3,2,0,0,2,50.6,Junior Developer,6.59,3,4,2.0268315914075385
Tier 1,7.21,3,3,0,2,2,0,1,1,42.5,Web Developer,10.65,3,7,2.4553061800117097
Tier 1,7.16,0,5,2,1,2,2,1,0,59.5,Backend Developer,15.86,3,0,2.8249439525737094
Tier 2,8.51,0,2,0,3,0,0,1,1,54.2,Data Analyst,10.42,2,1,2.435366204227864
Tier 2,8.28,3,3,3,2,0,0,1,1,49.9,Backend Developer,10.12,2,0,2.4087452888224363
Tier 3,5.8,0,0,2,1,2,2,1,1,44.0,Web Developer,6.3,1,7,1.9878743481543455
Tier 2,6.74,2,2,3,1,1,1,0,1,47.4,Data Analyst,10.36,2,1,2.4300984132930052
Tier 2,8.7,1,2,0,2,2,2,1,1,65.5,Data Scientist,24.09,2,2,3.222469360378331
Tier 2,7.4,1,0,0,1,2,0,0,2,56.0,Data Analyst,6.08,2,1,1.9572739077056285
Tier 2,4.0,2,2,4,4,1,3,0,0,34.8,Junior Developer,4.39,2,4,1.6845453849209058
Tier 3,6.0,1,3,0,3,3,0,1,0,43.5,Backend Developer,8.47,1,0,2.248128907197987
Tier 3,6.89,2,2,0,1,2,3,1,1,61.9,Data Analyst,9.83,1,1,2.382320061012899
Tier 1,7.45,1,0,0,3,2,0,1,0,44.8,Backend Developer,10.35,3,0,2.4292177439274116
Tier 2,7.78,0,0,1,2,3,0,0,3,60.4,Data Analyst,5.94,2,1,1.937301774518713
Tier 2,6.17,2,1,0,2,2,0,1,1,45.2,Junior Developer,8.14,2,4,2.2126603854660587
Tier 2,7.68,2,0,1,2,0,1,2,2,60.4,Software Engineer,15.8,2,6,2.8213788864092133
Tier 2,9.16,0,1,0,1,2,1,3,1,67.1,Backend Developer,17.39,2,0,2.91180703861623
Tier 2,9.97,0,3,0,0,2,1,2,0,70.8,Backend Developer,18.32,2,0,2.961140828784372
Tier 2,6.97,2,2,0,0,0,0,2,1,42.8,DevOps Engineer,7.92,2,3,2.188295946591918
Tier 2,9.16,1,1,1,0,1,0,1,2,68.0,DevOps Engineer,10.94,2,3,2.479894107964456
Tier 3,7.43,3,1,1,3,1,0,1,0,45.8,Web Developer,8.74,1,7,2.2762411176544437
Tier 2,7.74,1,4,0,1,0,1,3,0,65.0,Backend Developer,15.92,2,0,2.8284963541780774
Tier 2,5.0,3,1,1,2,4,0,1,2,38.9,Junior Developer,3.13,2,4,1.4182774069729414
Tier 1,8.77,1,2,0,1,2,1,1,0,73.7,Backend Developer,17.55,3,0,2.920469789053444
Tier 3,8.27,1,1,0,2,2,3,0,3,69.6,Data Scientist,19.52,1,2,3.021400020302569
Tier 1,7.09,0,2,1,0,1,1,1,1,45.9,Backend Developer,16.25,3,0,2.847812143477369
Tier 3,8.47,2,2,0,1,2,1,1,1,62.5,Data Analyst,12.89,1,1,2.6311691567662523
Tier 1,6.77,1,3,3,2,1,0,3,1,50.1,Web Developer,8.33,3,7,2.2332350148592526
Tier 2,5.75,0,2,1,1,5,1,1,1,45.5,Junior Developer,6.32,2,4,1.9906103279732201
Tier 2,8.33,0,3,2,4,3,1,2,3,69.4,DevOps Engineer,20.11,2,3,3.0497468618602293
Tier 3,7.68,2,1,0,0,1,1,3,1,67.3,Web Developer,15.15,1,7,2.7819200496686656
Tier 2,5.81,0,1,0,3,3,0,1,2,27.7,Junior Developer,4.38,2,4,1.682688374173693
Tier 3,5.03,1,5,0,0,3,0,1,2,30.7,Junior Developer,3.52,1,4,1.5085119938441398
Tier 3,4.97,0,2,0,2,1,0,1,0,34.2,Junior Developer,3.77,1,4,1.5623463049002497
Tier 2,5.84,0,2,1,3,0,2,0,0,51.7,Junior Developer,6.04,2,4,1.951608170169951
Tier 2,8.45,1,1,0,3,3,0,3,1,61.5,DevOps Engineer,10.2,2,3,2.4159137783010487
Tier 2,7.33,1,1,2,0,0,1,0,0,62.7,Junior Developer,9.29,2,4,2.331172549845958
Tier 1,5.16,1,2,1,2,1,3,0,1,49.7,Junior Developer,4.59,3,4,1.7209792871670078
Tier 3,6.36,1,0,0,1,1,0,2,0,41.0,Backend Developer,6.73,1,0,2.0451088625993306
Tier 3,6.09,1,4,0,4,1,2,0,1,50.8,Junior Developer,8.97,1,4,2.299580583973747
Tier 3,7.09,0,2,0,2,3,0,1,1,43.1,Junior Developer,8.06,1,4,2.203869120054888
Tier 1,8.46,1,0,1,3,1,1,1,1,64.1,Data Scientist,23.79,3,2,3.210440346047099
Tier 1,6.71,2,2,2,2,1,0,2,2,44.3,DevOps Engineer,8.35,3,3,2.2353763433005955
Tier 2,7.68,0,0,0,0,4,1,2,2,61.4,Web Developer,15.39,2,7,2.7966713927557385
Tier 3,7.98,2,2,0,0,0,2,2,1,66.9,ML Engineer,16.02,1,5,2.834389123145228
Tier 3,4.84,1,0,1,2,0,1,0,1,34.0,Junior Developer,4.44,1,4,1.6937790608678513
Tier 2,8.79,0,1,2,0,0,0,1,0,57.8,Backend Developer,10.31,2,0,2.425687290128029
Tier 3,6.53,3,2,1,2,2,1,3,1,50.7,Backend Developer,10.26,1,0,2.421256622711544
Tier 2,7.91,0,2,0,1,1,1,1,1,59.3,Data Scientist,16.17,2,2,2.843163674909384
Tier 2,7.14,2,1,0,2,3,1,1,1,48.1,Backend Developer,16.34,2,0,2.853015971352396
Tier 2,5.66,1,1,2,4,1,0,0,2,40.2,Junior Developer,5.32,2,4,1.843719208158766
Tier 3,6.73,0,1,0,0,3,1,1,2,51.7,DevOps Engineer,10.36,1,3,2.4300984132930052
Tier 1,6.21,1,1,2,0,0,0,2,2,47.1,Backend Developer,8.39,3,0,2.2396452932201716
Tier 2,5.5,0,4,2,4,1,1,1,1,39.5,Web Developer,6.17,2,7,1.969905654611529
Tier 3,6.75,0,2,2,0,2,0,3,2,52.4,Data Analyst,7.83,1,1,2.178155014615869
Tier 2,6.8,1,4,3,0,0,1,0,1,53.3,Data Analyst,10.24,2,1,2.419478844465545
Tier 2,7.69,0,4,0,1,4,1,0,4,56.3,Data Analyst,13.19,2,1,2.6525374911719513
Tier 1,7.99,1,2,0,2,3,1,1,1,54.4,Backend Developer,15.76,3,0,2.818995095053937
Tier 2,7.78,1,1,0,3,4,0,1,1,45.3,Software Engineer,10.78,2,6,2.4664031782234406
Tier 2,6.34,1,3,2,2,0,0,3,1,59.7,Backend Developer,8.33,2,0,2.2332350148592526
Tier 2,6.22,2,1,0,1,1,0,3,2,44.7,Junior Developer,8.17,2,4,2.2159372862683733
Tier 2,9.23,1,2,0,1,1,0,2,0,58.1,Backend Developer,10.24,2,0,2.419478844465545
Tier 2,7.93,1,2,2,2,0,0,1,2,56.7,Data Analyst,10.29,2,1,2.4239173781615704
Tier 3,4.0,2,1,3,0,1,1,1,2,31.0,Junior Developer,4.61,1,4,1.724550719534605
Tier 2,6.73,0,2,1,1,0,1,2,1,36.6,DevOps Engineer,10.27,2,3,2.422144328051685
Tier 1,7.88,0,4,0,1,3,1,0,1,57.5,Data Scientist,15.6,3,2,2.8094026953624978
Tier 3,9.9,2,0,0,1,3,2,0,1,79.9,Data Scientist,21.24,1,2,3.1018924693823817
Tier 3,7.21,1,2,2,1,2,1,3,1,52.3,Backend Developer,14.4,1,0,2.7343675094195836
Tier 2,7.07,1,2,0,2,4,2,3,0,59.4,Software Engineer,15.99,2,6,2.8326249356838407
Tier 3,6.93,2,0,2,2,2,1,0,0,48.1,Junior Developer,9.36,1,4,2.337952236831337
Tier 2,8.3,1,2,1,3,2,0,2,1,52.4,Backend Developer,10.53,2,0,2.4449523342809676
Tier 1,9.48,0,6,1,2,0,0,1,1,60.0,Software Engineer,10.76,3,6,2.464703942470481
Tier 2,10.0,2,2,1,2,2,0,0,2,77.8,Data Analyst,6.39,2,1,2.0001277349601105
Tier 1,5.8,2,1,0,2,3,0,3,0,37.6,Junior Developer,4.81,3,4,1.7595805708638197
Tier 1,7.16,0,3,0,1,3,1,3,1,42.5,Backend Developer,16.04,3,0,2.8355635214011694
Tier 2,8.23,4,3,0,1,4,1,1,0,53.7,DevOps Engineer,19.64,2,3,3.027230940613362
Tier 3,6.89,2,5,2,2,0,1,2,1,54.4,DevOps Engineer,10.55,1,3,2.446685436967803
Tier 2,6.73,0,2,0,1,0,1,2,1,49.0,DevOps Engineer,10.29,2,3,2.4239173781615704
Tier 2,9.05,1,0,0,1,4,2,2,2,73.4,Data Scientist,24.55,2,2,3.2406373166497136
Tier 2,7.32,3,2,1,3,2,2,1,2,63.1,Software Engineer,15.71,2,6,2.8160073426073025
Tier 1,7.04,1,5,0,1,1,1,2,0,50.7,DevOps Engineer,15.79,3,3,2.8207834710894493
Tier 1,5.31,1,1,0,0,1,1,1,1,40.7,Junior Developer,4.41,3,4,1.6882490928583902
Tier 2,6.1,2,2,0,1,3,0,0,3,40.3,Data Analyst,6.2,2,1,1.9740810260220096
Tier 3,5.35,2,4,0,1,1,2,1,1,34.3,Junior Developer,4.98,1,4,1.7884205679625405
Tier 2,8.08,0,2,0,2,0,2,2,1,67.6,Backend Developer,17.55,2,0,2.920469789053444
Tier 3,8.47,0,1,1,3,1,1,0,1,70.2,Data Analyst,12.05,1,1,2.5687881337687024
Tier 3,7.13,0,1,0,1,0,2,1,1,46.2,Backend Developer,13.65,1,0,2.6844403354630764
Tier 2,8.03,2,2,1,4,2,2,2,2,71.9,Data Scientist,24.48,2,2,3.2378938307039626
Tier 2,7.94,1,1,0,2,0,2,0,1,71.4,Data Scientist,16.42,2,2,2.857618971424357
Tier 2,6.33,1,3,2,0,1,0,3,1,43.1,Backend Developer,8.16,2,0,2.214846178686039
Tier 1,7.01,1,0,0,0,0,0,1,1,47.5,Backend Developer,10.88,3,0,2.474856313934499
Tier 1,7.67,0,4,1,2,2,2,3,0,59.9,Backend Developer,16.52,3,0,2.8633430855082453
Tier 2,9.68,2,1,0,0,1,0,2,3,68.1,Backend Developer,10.55,2,0,2.446685436967803
Tier 2,8.15,0,3,2,2,1,0,2,0,46.1,Backend Developer,11.19,2,0,2.5006159434931803
Tier 3,5.2,0,5,1,1,2,2,0,1,46.7,Junior Developer,4.49,1,4,1.7029282555214393
Tier 3,8.35,1,1,1,2,5,0,2,0,58.1,Backend Developer,10.75,1,0,2.463853240590168
Tier 1,6.75,1,3,1,3,0,1,0,3,45.4,Junior Developer,8.39,3,4,2.2396452932201716
Tier 1,6.25,0,1,3,0,3,3,1,1,60.9,Backend Developer,10.24,3,0,2.419478844465545
Tier 2,7.91,3,0,0,0,2,2,0,1,58.6,ML Engineer,15.91,2,5,2.827905162910489
Tier 3,4.73,0,3,0,1,1,1,1,1,38.4,Junior Developer,4.75,1,4,1.749199854809259
Tier 3,6.77,0,1,3,1,3,1,0,0,47.5,Junior Developer,7.77,1,4,2.1713368063840917
Tier 2,5.67,3,1,1,1,0,0,0,2,44.4,Junior Developer,4.64,2,4,1.7298840655099674
Tier 2,7.18,1,0,0,0,2,0,0,3,55.2,Data Analyst,6.14,2,1,1.965712776351493
Tier 1,6.21,0,2,2,3,2,1,0,0,45.6,Junior Developer,9.23,3,4,2.325324579963535
Tier 1,8.11,0,1,2,2,0,2,2,2,68.5,Backend Developer,17.96,3,0,2.942331496826876
Tier 3,6.83,2,1,1,0,4,0,1,1,45.1,DevOps Engineer,7.44,1,3,2.132982308607866
Tier 2,9.52,1,2,0,2,3,2,4,0,72.7,ML Engineer,30.98,2,5,3.4651107074058083
Tier 3,6.35,0,2,0,1,0,0,3,0,43.5,Backend Developer,7.78,1,0,2.1724764076470255
Tier 3,5.81,1,2,2,1,4,0,2,1,39.2,Web Developer,4.86,1,7,1.7681496035889213
Tier 2,8.18,1,1,0,3,4,0,0,2,52.8,Backend Developer,6.28,2,0,1.9851308622085946
Tier 2,6.78,0,1,1,0,6,1,1,1,43.9,DevOps Engineer,9.82,2,3,2.3813962734183356
Tier 2,6.55,2,1,1,1,2,1,0,1,47.9,Data Analyst,10.3,2,1,2.424802725718295
Tier 2,6.91,1,1,1,0,2,0,1,1,60.5,Backend Developer,8.0,2,0,2.1972245773362196
Tier 1,6.77,2,1,0,1,0,1,0,2,49.2,DevOps Engineer,10.13,3,3,2.4096441652874536
Tier 2,7.45,0,4,1,1,1,1,1,2,57.1,Data Analyst,13.21,2,1,2.6539459421090092
Tier 3,7.66,5,1,1,2,3,2,2,1,58.1,ML Engineer,15.62,1,5,2.810606789427302
Tier 3,7.73,0,2,0,0,2,1,0,1,53.6,Data Analyst,11.11,1,1,2.494031557565001
Tier 2,5.39,4,2,0,1,2,0,2,1,28.1,Junior Developer,3.14,2,4,1.420695787837223
Tier 3,7.04,0,0,0,3,2,2,1,1,52.4,Data Scientist,14.56,1,2,2.7447035187502458
Tier 1,7.94,2,3,0,0,2,1,1,2,57.8,Data Analyst,13.2,3,1,2.653241964607215
Tier 2,7.85,1,4,0,2,1,2,1,2,65.0,Backend Developer,15.85,2,0,2.8243506567983707
Tier 3,6.19,1,1,0,0,3,1,0,3,47.5,Junior Developer,9.0,1,4,2.302585092994046
Tier 3,7.56,1,3,0,4,2,0,0,2,63.7,Data Analyst,6.51,1,1,2.0162354657760435
Tier 1,7.58,2,2,1,0,2,0,0,1,49.6,Data Analyst,6.72,3,1,2.0438143640366846
Tier 2,8.19,2,4,0,3,4,0,0,1,60.1,Web Developer,6.24,2,7,1.979621206397625
Tier 2,6.15,0,1,2,1,3,1,3,0,55.7,Backend Developer,10.55,2,0,2.446685436967803
Tier 3,7.05,1,3,1,1,3,0,2,1,56.0,Web Developer,10.19,1,7,2.4150205223238337
Tier 3,7.08,0,1,1,2,2,1,1,1,49.7,Backend Developer,10.98,1,0,2.4832385926873033
Tier 2,8.48,0,4,0,2,1,1,3,2,65.4,Web Developer,15.39,2,7,2.7966713927557385
Tier 3,7.04,0,1,0,2,2,1,1,0,48.7,Backend Developer,11.51,1,0,2.5265283244788197
Tier 2,5.26,0,3,0,0,2,0,1,1,46.9,Junior Developer,4.0,2,4,1.6094379124341003
Tier 2,5.44,0,3,1,1,2,0,1,0,43.1,Junior Developer,3.77,2,4,1.5623463049002497
Tier 1,7.41,0,3,0,1,4,1,1,1,50.7,Software Engineer,15.96,3,6,2.830857630363757
Tier 2,7.38,1,2,0,2,1,0,0,1,52.8,Backend Developer,6.49,2,0,2.0135687975291283
Tier 2,6.72,1,1,0,1,4,0,2,0,50.0,Backend Developer,8.14,2,0,2.2126603854660587
Tier 3,7.09,0,4,0,3,4,1,1,0,58.1,Data Scientist,14.23,1,2,2.7232671669070703
Tier 2,7.83,1,3,1,1,2,0,0,1,59.6,DevOps Engineer,6.4,2,3,2.0014800002101243
Tier 3,7.3,1,1,0,0,1,1,0,0,52.8,Data Scientist,10.57,1,2,2.448415541205585
Tier 1,7.2,1,1,0,2,3,3,0,2,55.5,Data Scientist,15.59,3,2,2.808800104202353
Tier 1,7.85,1,2,0,5,1,1,2,0,59.0,DevOps Engineer,15.7,3,3,2.8154087194227095
Tier 1,7.64,1,0,0,0,3,1,1,1,53.2,Web Developer,15.02,3,7,2.7738379416402132
Tier 2,6.74,1,1,1,0,4,1,0,1,49.3,Backend Developer,10.56,2,0,2.4475508632442313
Tier 2,7.47,1,3,0,0,1,0,0,1,46.9,Data Analyst,6.28,2,1,1.9851308622085946
Tier 1,5.81,1,1,1,1,3,2,0,1,52.6,Junior Developer,6.08,3,4,1.9572739077056285
Tier 3,9.11,3,2,0,3,3,0,0,2,68.9,Data Analyst,5.73,1,1,1.9065751436566365
Tier 2,6.27,1,3,0,1,0,1,1,2,49.2,Backend Developer,9.82,2,0,2.3813962734183356
Tier 2,4.35,2,0,0,2,3,2,1,1,41.2,Junior Developer,4.94,2,4,1.7817091333745536
Tier 3,7.85,2,3,0,5,3,2,3,0,67.7,Software Engineer,16.54,1,6,2.864483986944037
Tier 3,6.74,0,1,0,0,3,2,1,0,56.5,Backend Developer,9.86,1,0,2.3850863145057892
Tier 3,8.39,2,3,0,1,2,0,0,2,56.2,Backend Developer,6.65,1,0,2.0347056478384444
Tier 2,5.52,3,0,1,1,1,1,1,2,40.6,Junior Developer,6.15,2,4,1.9671123567059163
Tier 1,6.35,1,7,1,0,6,1,1,1,48.9,Junior Developer,8.77,3,4,2.2793164660546914
Tier 2,6.4,0,0,0,2,2,0,2,0,48.5,Backend Developer,8.4,2,0,2.2407096892759584
Tier 3,7.46,1,5,1,1,4,0,0,1,58.8,Data Analyst,6.74,1,1,2.046401687601636
Tier 1,7.66,2,3,1,3,1,0,3,1,61.0,Backend Developer,10.91,3,0,2.477378383367209
Tier 2,7.68,1,2,1,5,1,2,0,3,56.5,Data Scientist,15.5,2,2,2.803360380906535
Tier 1,7.65,2,1,0,1,4,0,1,0,57.3,Backend Developer,10.16,3,0,2.412335956953165
Tier 3,8.07,1,5,0,0,4,1,1,3,56.7,Backend Developer,16.21,1,0,2.845490610223448
Tier 3,6.79,0,1,0,0,1,0,2,1,47.2,Software Engineer,7.3,1,6,2.1162555148025524
Tier 1,8.05,0,1,0,1,1,2,1,2,60.5,Data Scientist,24.18,3,2,3.2260500286162013
Tier 1,6.33,0,2,0,1,2,0,1,0,45.4,Software Engineer,8.81,3,6,2.2834022735772717
Tier 2,7.42,0,1,0,2,3,1,3,1,49.9,Junior Developer,9.14,2,4,2.316487998163037
Tier 3,7.82,1,5,0,2,3,1,1,1,55.6,Data Scientist,15.31,1,2,2.7917784166329227
Tier 2,6.41,0,2,1,1,3,0,0,1,46.9,Junior Developer,6.01,2,4,1.9473377010464987
Tier 1,7.35,0,1,1,3,2,0,1,2,52.1,Backend Developer,10.15,3,0,2.411439497906128
Tier 2,7.48,0,2,1,1,4,1,2,1,59.2,Backend Developer,15.37,2,0,2.7954503913830435
Tier 3,6.3,0,2,0,0,2,0,1,3,53.6,Junior Developer,7.1,1,4,2.0918640616783932
Tier 2,6.95,1,4,0,0,2,0,0,2,41.4,Data Analyst,6.41,2,1,2.0028304393079956
Tier 2,8.06,1,0,0,2,0,2,0,1,55.1,Data Analyst,13.11,2,1,2.6468837658647226
Tier 3,7.3,0,1,1,1,2,1,0,0,49.7,Data Scientist,9.76,1,2,2.3758355547336385
Tier 3,7.14,1,0,1,1,1,0,2,1,50.5,Backend Developer,7.59,1,0,2.150598735996164
Tier 2,6.86,2,5,1,4,1,1,1,0,53.3,Backend Developer,9.51,2,0,2.3523271848888596
Tier 2,6.53,0,3,1,0,1,1,0,0,50.2,Software Engineer,9.1,2,6,2.312535423847214
Tier 2,6.78,3,3,0,0,2,1,0,1,41.7,Data Analyst,9.92,2,1,2.390595970316759
Tier 2,7.71,1,1,0,2,2,0,0,1,42.5,Web Developer,6.38,2,7,1.998773638612381
Tier 2,5.36,0,0,2,4,3,0,1,2,49.4,Junior Developer,3.56,2,4,1.5173226235262949
Tier 2,7.11,1,0,1,0,2,1,0,4,56.3,Junior Developer,9.42,2,4,2.343727036325221
Tier 2,4.91,3,3,0,2,2,0,0,1,37.9,Junior Developer,3.92,2,4,1.5933085305042167
Tier 3,6.43,2,2,0,0,3,2,0,0,60.2,Software Engineer,9.86,1,6,2.3850863145057892
Tier 1,6.51,1,1,2,0,2,1,1,3,56.5,Data Analyst,10.05,3,1,2.402430427963762
Tier 3,7.06,2,1,1,1,2,1,3,1,55.8,Backend Developer,14.99,1,0,2.771963526845863
Tier 3,5.13,0,0,0,2,0,0,1,1,44.2,Junior Developer,3.24,1,4,1.4445632692438664
Tier 3,6.53,0,1,1,2,3,1,2,0,51.1,Backend Developer,10.21,1,0,2.4168062370840686
Tier 3,5.48,2,3,3,2,3,0,1,0,48.6,Junior Developer,3.05,1,4,1.3987168811184478
Tier 1,7.91,0,1,2,2,4,0,1,0,65.3,Software Engineer,10.72,3,6,2.4612967841488667
Tier 3,6.12,1,2,1,0,1,2,0,2,53.0,Junior Developer,8.92,1,4,2.2945529212967815
Tier 1,7.3,0,1,0,2,1,1,0,0,52.9,Data Scientist,15.85,3,2,2.8243506567983707
Tier 3,6.29,0,2,1,2,3,0,1,2,43.4,Junior Developer,7.37,1,4,2.124653884501384
Tier 3,5.77,0,3,1,1,3,0,0,1,28.5,Junior Developer,4.62,1,4,1.7263316639055997
Tier 2,7.81,0,2,0,1,3,2,0,2,58.0,Software Engineer,15.86,2,6,2.8249439525737094
Tier 1,6.17,0,2,0,2,3,1,2,1,41.2,Backend Developer,9.77,3,0,2.3767644911682972
Tier 2,5.24,3,1,1,1,0,1,1,1,37.7,Junior Developer,4.68,2,4,1.7369512327330598
Tier 2,8.34,2,2,0,1,3,0,2,0,59.7,Backend Developer,10.78,2,0,2.4664031782234406
Tier 1,5.86,1,1,0,3,4,1,2,0,41.0,Junior Developer,5.5,3,4,1.8718021769015913
Tier 3,6.37,1,2,1,0,0,1,0,0,55.0,Software Engineer,9.16,1,6,2.318458442150336
Tier 2,6.66,1,1,0,1,3,1,0,0,37.9,Junior Developer,9.1,2,4,2.312535423847214
